LA_name,LA_code,Covid_Death_Total,Population_Density,Children,Teenagers,Adults,Middle Age Adults,Senior,Good Health,Very good health,Bad health,Very bad health,No Dimension ,one dimension,two dimensions,three dimensions,four dimensions,Economically active (excluding full-time students),Economically active and a full-time student,Economically inactive
Adur,E07000223,1.35,64.55,179.62,38.98,146.95,398.36,236.09,490.82,453.5,43.38,12.25,194.96,152.94,64.98,14.5,1.43,472.38,12.08,335.93
Cumbria,E06000063,2.74,273.24,166.11,38.7,165.25,398.59,231.35,488.17,450.54,47.73,13.6,221,154.51,65.45,17.48,0.6,475.59,12,346.32
Amber Valley,E07000032,2.42,126.21,167.56,37.45,164.76,404.6,225.63,499.43,444.29,44.48,11.82,218.06,149.7,62.31,15.26,0.59,484.55,11.66,336.29
Arun,E07000224,1.94,164.9,153.66,36.96,152.5,372.55,284.33,513.79,431.88,43.12,11.17,202.38,160.77,63.77,12.58,1.17,451.18,14.76,380.37
Ashfield,E07000170,2.99,126.31,185.72,40.66,181.58,395.02,197.02,505.03,424.02,55,15.91,186.19,148.23,76.11,20.05,0.97,475.25,11.92,327.08
Ashford,E07000105,2.61,132.75,195.69,43.77,175.36,389.32,195.85,469.52,484.62,35.77,10.06,201.76,136.23,53.34,11.51,0.79,488.35,13.94,301.99
Buckinghamshire,E06000060,1.56,553.08,198.32,43.35,162.82,408,187.52,435.27,531.41,26.26,7.05,227.69,123.51,39.12,7.61,0.44,502.68,13.49,285.5
Babergh,E07000200,2.21,92.33,162.03,40.04,141.62,390.57,265.74,492.65,463.24,34.93,9.25,222.84,151.37,50.66,10.1,0.4,472.52,12.94,352.58
Barking and Dagenham,E09000002,2.34,218.86,261.02,53.96,212.51,385.57,86.94,439.88,511.41,37.32,11.41,126.93,125.17,64.38,19.87,1.31,447.01,26.65,265.37
Barnet,E09000003,2.23,389.34,205.45,42.74,207.05,400.68,144.09,411.26,548.56,30.11,10.08,189.62,126.2,51.05,13.91,1.72,493.74,19.33,281.49
Barnsley,E08000016,2.93,244.58,183.1,39.47,185.62,397.19,194.61,491.43,433.44,58.27,16.83,189.05,149.98,78.01,23.78,0.98,468.21,12.3,336.39
Westmorland and Furness,E06000064,2.48,226.59,151.9,39.12,152.78,398.88,257.32,484.28,463.38,41.18,11.19,236.61,152.56,55.21,12.01,0.5,483.77,12.78,351.57
Basildon,E07000066,2.96,187.58,207.43,42.58,191.36,388.58,170.05,464.92,484.68,38.54,11.84,187.96,139.79,62.12,16.05,1.18,487.21,13.77,291.57
Basingstoke and Deane,E07000084,1.55,185.15,190.9,38.2,188.39,409.63,172.89,462.01,501.19,29.27,7.58,227.83,132.46,44.3,8.91,0.46,532.69,13.4,263.03
Bassetlaw,E07000171,1.82,117.8,173.48,38.08,168.91,398.14,221.39,499.13,438.69,47.69,14.49,204.54,149.84,65.6,16.23,0.62,473.85,12.4,340.29
Bath and North East Somerset,E06000022,1.37,193.41,164.37,65.63,215.74,360.26,194,441.39,518.01,31.65,8.97,221.66,131.82,46.29,9.41,0.59,458.67,29.69,347.27
Bedford,E06000055,2.59,185.23,200.35,43.68,191.27,397.21,167.5,468.15,488.15,34.32,9.37,208.95,132.25,50.17,12.01,1.25,499.82,17.44,282.39
Bexley,E09000004,2.35,246.47,205.48,45.17,184.58,398.86,165.91,448.86,507.89,32.98,10.28,187.6,132.37,53.69,12.16,0.84,491.64,16.92,285.96
Birmingham,E08000025,2.37,1144.92,222.98,61.57,227.69,356.32,131.44,464.48,475.58,45.2,14.73,149.46,128.19,68.88,21.87,1.46,404.72,27.38,344.91
Blaby,E07000129,2.02,102.93,187.12,40.17,173.11,394.82,204.77,467.61,490.35,32.33,9.65,221.81,135.92,47.63,8,0.25,506.14,13.73,292.96
Blackburn with Darwen,E06000008,2.69,154.74,227.65,55.44,194.89,377.25,144.76,455.73,477.91,50.58,15.8,156.31,129.14,69.27,23.86,1.21,422.3,17.88,332.17
Blackpool,E06000009,2.71,141.03,175.13,41.28,180.93,395.68,206.98,504.97,403.69,69.32,22.04,175.63,161.31,90.65,29.66,2.14,439.42,16.86,368.62
Bolsover,E07000033,2.77,80.28,174.33,37.31,184.86,401.53,201.96,503.87,417.88,60.34,17.86,187.66,151.48,78.7,20.83,0.57,481.42,12.53,331.66
Bolton,E08000001,2.3,295.96,215.14,48.5,183.97,381.01,171.38,458.47,480.05,47.2,14.29,173.3,136.97,68.84,21.1,1.16,437.06,17.53,330.28
Boston,E07000136,2.23,70.5,183.23,41.76,179.51,391.17,204.33,520.06,421.93,45.29,12.71,170.4,161,67.73,16.75,1.18,487.27,12.85,316.64
"Bournemouth, Christchurch and Poole",E06000058,2.17,400.19,163.14,45.98,192.23,382.69,215.96,472.25,475.38,40.56,11.83,209.81,147.84,60.55,14.72,1.47,469.64,23.16,344.07
Bracknell Forest,E06000036,1.26,124.6,198,43.79,191.76,415.01,151.44,439.71,528.32,25.26,6.79,227.34,125.53,41.19,8.58,0.63,543.43,13.56,245.06
Bradford,E08000032,2.13,546.41,228.47,54.8,193.43,371.4,151.9,479.11,461.44,45.58,13.87,164.97,132.18,64.63,20.89,1.41,420.58,17.33,333.62
Braintree,E07000067,2.59,155.27,184.84,40.54,171.51,398.64,204.47,483.05,472.57,34.98,9.41,209.23,142.93,54.37,11.39,0.62,501.13,13.04,300.98
Breckland,E07000143,2.09,141.48,166.99,36.84,164.97,381.69,249.52,519.85,425.56,43.18,11.4,194.07,157.35,62.1,12.53,0.59,472.49,11.26,349.28
Brent,E09000005,2.33,339.82,190.32,48.92,246.45,397.91,116.41,436.03,520.26,32.84,10.86,139.42,127.42,61.85,18.62,1.74,491.57,26.3,291.8
Brentwood,E07000068,2.91,77.05,184.04,39.78,175.26,399.3,201.62,422.53,539.79,28.74,8.97,232.79,132.03,44.97,9.29,0.7,502.14,10.63,303.2
Brighton and Hove,E06000043,1.46,277.11,150.61,54.16,250.41,404.16,140.66,447.47,501.89,38.82,11.81,209.75,144.57,63.01,18.75,2.03,504.21,37.55,307.61
Bristol,E06000023,1.2,472.46,175.16,53.21,287.42,355.61,128.6,442.27,508.1,38.17,11.47,203.48,128.9,56.1,15.91,1.24,502.47,32.28,290.09
